Timestamp,JX,JY,B1,B2,Grip,Pitch,Roll
1779000510.9003806,100,0,0,0,5,-0.57,1.83
1779000510.9203806,100,0,0,0,7,-1.2,3.23
1779000510.9403806,100,0,0,0,10,-1.63,5.02
1779000510.9603806,100,0,0,0,10,-2.69,6.02
1779000510.9803805,100,0,0,0,11,-3.15,6.83
1779000511.0003805,100,0,0,0,13,-3.41,7.94
1779000511.0203805,100,0,0,0,14,-4.48,8.83
1779000511.0403807,100,0,0,0,14,-5.37,9.22
1779000511.0603807,100,0,0,0,13,-6.32,10.07
1779000511.0803807,100,0,0,0,13,-6.41,10.57
1779000511.1003807,100,0,0,0,13,-6.9,11.43
1779000511.1203806,100,0,0,0,13,-7.71,13.19
1779000511.1403806,100,0,0,0,14,-8.05,13.56
1779000511.1603806,100,0,0,0,13,-7.73,14.73
1779000511.1803806,100,0,0,0,13,-8.41,16.16
1779000511.2003806,100,0,0,0,14,-8.62,16.46
1779000511.2203805,100,0,0,0,15,-8.35,16.96
1779000511.2403805,100,0,0,0,14,-9.18,18.09
1779000511.2603805,100,0,0,0,15,-9.09,18.53
1779000511.2803807,100,0,0,0,14,-9.68,17.99
1779000511.3003807,100,0,0,0,14,-10.1,18.65
1779000511.3203807,100,0,0,0,13,-10.9,19.13
1779000511.3403807,100,0,0,0,13,-11.29,19.56
1779000511.3603806,100,0,0,0,15,-11.46,20.25
1779000511.3803806,100,0,0,0,15,-11.69,20.37
1779000511.4003806,100,0,0,0,14,-11.51,21.67
1779000511.4203806,100,0,0,0,13,-10.92,21.73
1779000511.4403806,100,0,0,0,14,-11.66,22.99
1779000511.4603806,100,0,0,0,14,-11.41,23.21
1779000511.4803805,100,0,0,0,14,-11.45,22.85
1779000511.5003805,100,0,0,0,15,-12.17,23.35
1779000511.5203805,100,0,0,0,13,-12.2,23.61
1779000511.5403807,100,0,0,0,13,-12.41,23.32
1779000511.5603807,100,0,0,0,13,-13.62,23.11
1779000511.5803807,100,0,0,0,15,-13.94,23.29
1779000511.6003807,100,0,0,0,13,-13.51,23.87
1779000511.6203806,100,0,0,0,15,-13.82,24.3
1779000511.6403806,100,0,0,0,13,-13.02,24.98
1779000511.6603806,100,0,0,0,14,-13.45,25.55
1779000511.6803806,100,0,0,0,13,-13.24,26.03
1779000511.7003806,100,0,0,0,13,-12.66,26.12
1779000511.7203805,100,0,0,0,13,-12.79,26.18
1779000511.7403805,100,0,0,0,15,-12.87,26.43
1779000511.7603805,100,0,0,0,13,-13.73,26.23
1779000511.7803807,100,0,0,0,13,-13.76,26.09
1779000511.8003807,100,0,0,0,15,-14.55,25.71
1779000511.8203807,100,0,0,0,14,-15.1,25.75
1779000511.8403807,100,0,0,0,15,-14.48,25.75
1779000511.8603806,100,0,0,0,15,-14.36,26.52
1779000511.8803806,100,0,0,0,15,-14.31,26.29
1779000511.9003806,0,100,0,0,14,-15.74,25.25
1779000511.9203806,0,100,0,0,14,-15.49,22.96
1779000511.9403806,0,100,0,0,15,-16.57,22.04
1779000511.9603806,0,100,0,0,14,-17.87,20.65
1779000511.9803805,0,100,0,0,15,-18.09,18.79
1779000512.0003805,0,100,0,0,13,-18.72,17.48
